gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YAL033W	5.11853559472642	4.72743082527951	5.14663226222227	5.08975335225644	5.3829008808525	5.24206408850004	5.22811372768961	5.16320132284491	5.09585051010491	5.17652398001397	4.87205938091151	5.13352508170099	5.258040216432	5.66529318534713	5.48256157885547	5.24466973387752	5.25588035022565	5.13258743779128	5.35901085639881	5.21480896199149	5.4893372398898	5.25932590906452	5.22156364762212	5.27948487891614
YAL032C	6.17251479778403	6.13110839933095	5.71528618859448	5.7311419438087	6.04810613558242	5.74781970370858	6.13285540937509	5.94443225103413	5.68568366662178	5.98965418465823	5.65362026090765	5.84893047431993	6.09775570549641	5.59679905416085	5.600890237402	5.41899354707586	5.71116602279651	5.7705853148201	5.66339302129797	5.54893873673119	6.13608797146349	5.81996316815417	5.86889491789475	5.74558699997898
YAL031C	5.80092088763916	5.75661738380935	5.71528618859448	5.84576880700129	5.87345089658296	5.87559101960091	5.7284185444129	5.68262635433484	5.81879994055751	5.96614435572702	5.74062301717144	5.69580443794329	5.71979268847791	5.59679905416085	5.52346592445689	5.45820423181502	5.94394602226652	5.65119276720127	5.78900136979004	5.80308383477069	5.53660287490676	5.99538176454652	5.39752131598273	5.77681724035581
YAL030W	6.0799345669044	6.36672278445848	6.02835948182178	6.23973146019223	6.08817723626533	6.1941131253596	6.58212236497924	6.21784672512785	6.16674180877474	6.14286909273397	6.18035710579183	6.20035945913076	6.14685467282349	5.98327476717082	5.89573539489202	6.02094512573617	6.01252840219743	5.71244028344636	5.69610472738246	6.32596007634871	6.04963817395906	6.17282667682727	6.23162448404472	5.97509822924655
YAL029C	6.19025004073176	6.33030128061613	6.44193444991177	6.37214222812425	5.98548041690032	6.13654844404331	6.2776745843879	6.41091316561948	6.18558595611505	6.24198391811665	6.344927413117	6.35329929464262	6.283771888817	6.12706666371453	6.31090140728199	6.48970156020818	6.32610912328737	6.54649656877829	6.31372608885731	5.98415072988659	6.0791185119136	6.21928176453795	6.15026429393765	6.09933430690019
YAL028W	5.82482081686887	5.49411943143292	5.62943855621869	5.42069032459442	5.89669781776171	5.85111325739687	5.75484058715177	5.49094258718514	5.5667278319419	5.81466805611564	5.52599608289088	5.80007660535131	6.0724723125953	5.59679905416085	5.63764929888946	5.49599186995467	5.49056009117022	5.48143467713935	5.59497118897027	5.58895928586294	6.01944634845358	5.57556918090426	6.0018802681464	5.61140619477871
YAL027W	5.3271953689961	5.2896570001699	5.19361329952175	4.89634564108837	5.30700407109613	5.47417738937054	4.91905531339226	5.16320132284491	5.39691035288461	5.31434778392608	5.25675904545433	5.26613645504588	5.258040216432	5.36057722217026	5.13697042834628	4.96531961802434	5.21058248027489	5.23254749230289	5.21640848205392	5.15596322145896	5.21315110031748	4.94189546471124	5.49965990272642	5.3730990372437
YAL026C	6.37080348054942	5.86828747721565	6.26049158545927	6.23973146019223	6.32181007906959	6.35284001086126	6.22525750711472	6.44316124405102	6.25831676738627	6.01272505004634	6.19971135785281	6.21827134328283	5.9089367422981	6.39220989309351	6.10813092149527	6.17608928041476	6.32610912328737	6.09215739621213	6.05495110461245	6.06554477511508	5.95676489015167	6.17282667682727	6.03299500757991	6.02628721781941
YAL025C	5.11853559472642	5.59995161637058	5.71528618859448	5.56963334324474	5.611571676413	5.50818720168441	5.18385034502935	6.05673798774184	6.06809244015699	5.96614435572702	5.49160161416156	5.51884029244274	6.17071125911485	6.90723706549596	6.50448910737298	6.6150097617485	5.92020631140403	6.67823581752425	6.70082146889176	5.77004920023959	6.53980255642539	5.91084091603227	6.03299500757991	6.02628721781941
YAL024C	5.49869876435347	5.33403685674257	5.59930114378456	5.45994664372163	5.13403262222879	5.24206408850004	5.34954692555255	5.55863454031241	5.27953482434472	5.31434778392608	5.25675904545433	5.74911032851828	5.08257715119271	4.98296979677846	5.3004641330414	5.37821847164429	4.93937204885124	5.58641726351598	4.91050045957671	5.15596322145896	4.90812080710098	5.14621215995856	5.22156364762212	5.05778221472
YAL023C	7.61888771864368	7.75635425279265	7.8160949133962	7.58835454998071	7.67701196613346	7.88685234062358	7.79210970103986	7.71913305296937	7.76650526179312	7.88594705436903	7.8992715600132	7.77674233778243	7.90898254185798	7.84636891720045	7.87463773940968	7.77961821342727	7.65341836254011	7.77687394376945	7.8429986806682	7.63955212210892	8.22354398959192	7.71865516642711	8.16849536586179	7.73701179966428
YAL022C	6.43074280343186	6.59700682219074	6.44193444991177	6.49244269650727	6.32181007906959	6.56703883148248	6.66140996433961	6.34395583275705	6.3271833704852	6.59170270559879	6.49112729083595	6.16376816931971	6.79805851904528	6.62838662056589	6.20221573642145	6.2955476045272	6.32610912328737	6.15585476258574	6.46143484709546	6.30434029764498	6.928636707479	6.241895501404	6.81686458663331	6.27579405891542
YAL021C	6.50204972790761	6.59700682219074	6.42643404673129	6.33565891033274	6.33815022237335	6.3856389711304	6.52655021362904	6.37785962752075	6.37655410537287	6.64905902375805	6.344927413117	6.46102810461734	6.64194824215035	6.58116065961913	6.57467464269316	6.52214198923152	6.50481063080757	6.38313786698103	6.68611577378486	6.54298290134034	6.59983599387193	6.61087402220232	6.76500084579653	6.39397063299161
YAL020C	5.80092088763916	5.78554098957209	5.59930114378456	5.56963334324474	5.72353147956002	5.96883177264984	5.52387094826998	5.8964700677631	5.65710860437353	5.81466805611564	5.71235046871852	5.80007660535131	5.64924348992103	5.66529318534713	6.03267628195349	5.49599186995467	5.45503275988983	5.55254529412268	5.8183947580024	5.80308383477069	5.89070634653247	5.57556918090426	6.06335217176177	5.89408058422963
YAL019W	5.72615454696675	5.41721458910356	6.09049279566111	6.04667292439345	5.84974567941947	5.87559101960091	5.45762389762937	5.9905844453096	6.00496364857562	5.81466805611564	5.62306930164466	6.16376816931971	5.9089367422981	6.25620130393073	6.13231150074384	6.04431427570327	5.62194143111249	6.0478345393113	6.14715026686516	5.77004920023959	5.85627453446709	6.02232026516558	6.03299500757991	5.92168895584301
YAL017W	6.3860451931769	6.47031958254107	6.32940801840056	6.75983372925867	6.65453988585657	6.28467451868536	6.48330565857043	6.55025223364518	6.51448696970436	6.42004965197554	6.52154342041586	6.54689392779497	6.69068710710166	6.19325732142786	6.1560404807079	6.5847598203679	6.60720688708276	6.36563873110463	6.52954921992107	6.42902450812421	6.49823571833906	6.75557842623781	6.63572957607997	6.35574907614163
YAL016W	6.97747103417257	6.95395341715346	6.96029400583258	6.83844170165764	6.88939185520353	6.70148850424143	6.67418490406271	6.71607753332899	6.62618683753099	6.79534576230848	6.81747237231364	6.83321769400783	6.79805851904528	6.5487319572719	6.54004055504137	6.65915272571031	6.7154525617935	6.74624999888481	6.90431532089037	6.86551853340616	6.71245375312343	6.88642073973955	6.99188765882651	6.86564258820767
YAL015C	5.93764465162914	5.78554098957209	5.68738532288003	5.89918275119383	5.84974567941947	5.74781970370858	5.92487554746683	5.87175775989165	5.79336328256895	5.60913085934493	6.05761558016656	5.69580443794329	5.96589159435747	5.84916281018927	5.600890237402	5.33571235332845	5.62194143111249	5.4051644062524	5.21640848205392	5.41902216394431	6.01944634845358	5.81996316815417	5.83323396018165	5.68047646870111
YAL014C	6.54307530279905	6.67053473003474	6.47240324358102	6.64745473548864	6.74139827491777	6.63593145723038	6.56844312430834	6.59365325007258	6.52896758763108	6.42004965197554	6.63675708072402	6.43113230002429	6.7832262295711	6.3736223600695	6.64138282651048	6.21714908519778	6.53487163009781	6.23612456155882	6.42602617717747	6.42902450812421	6.74801218912968	6.36989306281387	6.63572957607997	6.19059616671259
YAL013W	6.45972536783678	6.31170394189685	6.50219104178535	6.61784537947753	6.58890879326195	6.64929858596034	6.64851365371061	6.55025223364518	6.42414178063991	6.60627150870522	6.58038125869905	6.38498528438929	6.60845419729375	6.33564086446429	6.82386214803138	6.36949706010845	6.17890445081015	6.0478345393113	6.42602617717747	6.14197817040693	6.86566356404975	6.40992621704665	6.7472671378627	6.16838571001005
YAL012W	8.22239869555161	8.43529354147441	8.41981360901033	8.40968005054393	8.4117086832866	8.3795061903048	8.3869643343729	8.64143963951557	8.61968775454225	8.60873141395139	8.758124714645	8.66915727234921	8.45813021586627	8.017080745291	8.23612608122856	8.13949999361502	8.11501400113994	7.93902998673095	8.17123867534948	8.265542484487	8.75333714794042	8.08223676471877	8.77937570619192	8.03861792530493
YAL011W	5.58956028786178	5.49411943143292	5.71528618859448	5.63704832807207	5.66893537507378	5.63441934883404	5.42285790427716	5.49094258718514	5.81879994055751	5.50803650413514	5.38105666383857	5.77487081907825	5.20331048220624	5.59679905416085	5.39561546735951	5.75879237047037	5.49056009117022	5.51758118244554	5.26636291997902	5.62757471784541	5.38788323436315	5.68677065167097	5.67868863799069	5.61140619477871
YAL010C	5.43350709481466	5.1422576998524	5.36070536130843	5.66928653436611	5.611571676413	5.47417738937054	5.4912663526135	5.34076685776675	5.04309234217204	5.27062985791008	5.55932199173696	5.38227895061311	5.57396726803193	5.40386847412544	5.44000351513162	5.24466973387752	5.41824851674965	5.48143467713935	5.40225281432916	5.27007735683292	4.68709295420322	5.61388182563894	5.1546936418103	5.27948487891614
YAL009W	5.36390297082908	5.56580859769535	5.32159292789395	5.24615746589719	4.77699033503839	5.47417738937054	5.22811372768961	5.25620304363009	5.14546930789823	5.07119318683954	5.29999226002793	5.34507851329661	5.01498536650238	4.91152311393931	5.00789261748844	5.29127632198995	5.38009045844393	5.07793268849247	4.91050045957671	5.15596322145896	4.80748950518006	5.25932590906452	4.91426743312426	5.32741588131984
YAL008W	5.43350709481466	5.66523719708589	5.84554485293541	5.42069032459442	5.74988668375278	5.50818720168441	5.7284185444129	5.76745077821392	5.65710860437353	5.50803650413514	5.29999226002793	5.63988811084715	5.71979268847791	5.4453877456173	5.83633028992991	5.1955966123055	5.34042217214064	5.32268876660162	5.35901085639881	5.92674972143758	5.38788323436315	5.65091639087051	5.49965990272642	5.41678354997435
YAL003W	8.25059868043841	8.50719455431204	8.52841729979924	8.37572749824947	8.37438878326007	8.45907405651931	8.34872459806007	8.42985930056599	8.518268180838	8.68383836635822	8.46558630878554	8.48915670083398	9.15337896372808	9.4855401529475	9.32728466304035	9.15142297722676	8.99103808060625	9.47607452315747	9.48798873014433	9.28195181134979	9.6245309126841	8.980290984955	9.26555825582333	9.27723445976189
