ID	Description	pvalue	p.adjust	ES	NES	size	leadingEdge
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [biological_process]	0.0626057529610829	0.463572312581505	-0.681894821476991	-1.50381914425871	10	YNL112W/YOL139C/YNL016W
GO:0002188	translation reinitiation [biological_process]	0.0626536809021222	0.463572312581505	-0.852015558698727	-1.48083020376744	4	YBR079C/YMR146C/YMR260C/YDR429C
GO:0001933	negative regulation of protein phosphorylation [biological_process]	0.0626536809021222	0.463572312581505	-0.849957520775341	-1.47725326824516	4	YPR149W
GO:0051180	vitamin transport [biological_process]	0.063953488372093	0.470750419563654	-0.923117709437964	-1.37789029369468	2	YGL186C/YNR056C
GO:0006271	DNA strand elongation involved in DNA replication [biological_process]	0.0643842665043602	0.471490936247315	0.666768078296537	1.5460725745933	8	YPR019W/YOL006C/YBR202W/YGL201C
GO:0097466	ubiquitin-dependent glycoprotein ERAD pathway [biological_process]	0.0647948164146868	0.472076519592718	0.841606479449725	1.38941769897577	3	YDR057W/YPL096W
GO:0070485	dehydro-D-arabinono-1,4-lactone biosynthetic process [biological_process]	0.0657084188911704	0.473897081699956	0.896960056557087	1.34895795247114	2	YML086C/YMR041C
GO:0033499	galactose catabolic process via UDP-galactose, Leloir pathway [biological_process]	0.0657084188911704	0.473897081699956	0.894839165782962	1.34576829819929	2	YBR018C/YBR019C
GO:0000183	rDNA heterochromatin formation [biological_process]	0.0671760467257791	0.479636973622062	0.483243693517563	1.45428435965983	21	YPL015C/YOL006C/YDR026C/YML109W/YMR179W/YKR010C/YER088C
GO:0006311	meiotic gene conversion [biological_process]	0.0669546436285097	0.479636973622062	0.840551529079017	1.38767606942277	3	YOL090W/YGL127C/YGL250W
GO:0030474	spindle pole body duplication [biological_process]	0.068421052631579	0.485136741973841	0.528748217946967	1.47089166580029	15	YPL255W/YNL188W/YKL042W/YLR457C/YOR257W/YLL003W/YDR168W/YGL075C
