tx_id	gene_id
YBL069W_id001	YBL069W
YBL068W-A_id001	YBL068W-A
YBL068W-A_id002	YBL068W-A
YBL068W_id001	YBL068W
YBL068W_id002	YBL068W
YBL067C_mRNA	YBL067C
YBL066C_mRNA	YBL066C
YBL065W_mRNA	YBL065W
YBL064C_id002	YBL064C
YBL064C_id001	YBL064C
YBL063W_mRNA	YBL063W
YBL061C_id001	YBL061C
YBL061C_id002	YBL061C
YBL062W_mRNA	YBL062W
YBL060W_id001	YBL060W
YBL060W_id004	YBL060W
YBL059C-A_id001	YBL059C-A
YBL059C-A_id004	YBL059C-A
YBL059W_mRNA	YBL059W
YBL058W_id001	YBL058W
YBL057C_id002	YBL057C
YBL057C_id001	YBL057C
YBL056W_id001	YBL056W
YBL056W_id003	YBL056W
YBL055C_id001	YBL055C
YBL055C_id003	YBL055C
YBL054W_id001	YBL054W
YBL054W_id002	YBL054W
YBL052C_id001	YBL052C
YBL053W_mRNA	YBL053W
YBL051C_id004	YBL051C
YBL051C_id001	YBL051C
YBL050W_id002	YBL050W
YBL050W_id001	YBL050W
YBL049W_id001	YBL049W
YBL048W_mRNA	YBL048W
YBL047C_id001	YBL047C
YBL047C_id002	YBL047C
YBL046W_id001	YBL046W
YBL046W_id003	YBL046W
YBL045C_id001	YBL045C
YBL045C_id003	YBL045C
YBL044W_mRNA	YBL044W
YBL043W_id001	YBL043W
YBL043W_id003	YBL043W
YBL042C_id001	YBL042C
YBL042C_id005	YBL042C
YBL041W_id001	YBL041W
YBL041W_id015	YBL041W
YBL040C_id001	YBL040C
YBL040C_id002	YBL040C
YBL039W-B_id002	YBL039W-B
YBL039W-B_id001	YBL039W-B
YBL039C_id001	YBL039C
YBL039C-A_id002	YBL039C-A
YBL039C-A_id001	YBL039C-A
YBL038W_id001	YBL038W
YBL037W_mRNA	YBL037W
YBL036C_id002	YBL036C
YBL036C_id001	YBL036C
YBL035C_id001	YBL035C
YBL035C_id002	YBL035C
YBL034C_mRNA	YBL034C
YBL033C_id001	YBL033C
YBL032W_id003	YBL032W
YBL032W_id001	YBL032W
YBL031W_id002	YBL031W
YBL031W_id001	YBL031W
YBL030C_id001	YBL030C
YBL030C_id009	YBL030C
YBL029C-A_id001	YBL029C-A
YBL029C-A_id002	YBL029C-A
YBL029W_mRNA	YBL029W
YBL028C_id001	YBL028C
YBL028C_id002	YBL028C
YBL027W_id001	YBL027W
YBL027W_id005	YBL027W
YBL026W_id002	YBL026W
YBL026W_id001	YBL026W
YBL025W_id001	YBL025W
YBL025W_id002	YBL025W
YBL024W_id002	YBL024W
YBL024W_id001	YBL024W
YBL023C_id001	YBL023C
YBL023C_id002	YBL023C
YBL022C_id001	YBL022C
YBL022C_id006	YBL022C
YBL021C_id001	YBL021C
YBL021C_id003	YBL021C
YBL020W_id001	YBL020W
YBL020W_id005	YBL020W
YBL019W_id001	YBL019W
YBL019W_id002	YBL019W
YBL018C_id001	YBL018C
YBL018C_id005	YBL018C
YBL017C_mRNA	YBL017C
YBL016W_id001	YBL016W
YBL015W_id001	YBL015W
YBL015W_id002	YBL015W
YBL014C_id001	YBL014C
YBL014C_id003	YBL014C
YBL013W_mRNA	YBL013W
YBL011W_id001	YBL011W
YBL011W_id002	YBL011W
YBL012C_mRNA	YBL012C
YBL010C_id003	YBL010C
YBL010C_id001	YBL010C
YBL009W_id002	YBL009W
YBL009W_id001	YBL009W
YBL008W-A_mRNA	YBL008W-A
YBL008W_id001	YBL008W
YBL008W_id002	YBL008W
YBL007C_id003	YBL007C
YBL007C_id001	YBL007C
YBL006C_id002	YBL006C
YBL006C_id001	YBL006C
YBL006W-A_id001	YBL006W-A
YBL005W_id001	YBL005W
YBL005W-A	agat-transposable_element_gene-3
YBL004W_mRNA	YBL004W
YBL003C_id004	YBL003C
YBL003C_id001	YBL003C
YBL002W_id001	YBL002W
YBL002W_id009	YBL002W
YBL001C_id001	YBL001C
YBL001C_id002	YBL001C
YBR001C_id001	YBR001C
YBR001C_id003	YBR001C
YBR002C_id001	YBR002C
YBR002C_id002	YBR002C
YBR003W_id001	YBR003W
YBR003W_id007	YBR003W
YBR004C_id001	YBR004C
YBR004C_id002	YBR004C
YBR005W_id001	YBR005W
YBR005W_id004	YBR005W
YBR006W_id001	YBR006W
YBR006W_id002	YBR006W
YBR007C_id001	YBR007C
YBR007C_id002	YBR007C
YBR008C_id005	YBR008C
YBR008C_id001	YBR008C
YBR009C_id001	YBR009C
YBR009C_id002	YBR009C
YBR010W_id008	YBR010W
YBR010W_id001	YBR010W
YBR011C_id001	YBR011C
YBR011C_id002	YBR011C
YBR012C_id001	YBR012C
YBR012W-A	agat-transposable_element_gene-7
YBR013C_mRNA	YBR013C
YBR014C_id001	YBR014C
YBR014C_id008	YBR014C
YBR015C_id001	YBR015C
YBR015C_id002	YBR015C
YBR016W_id001	YBR016W
YBR016W_id005	YBR016W
YBR017C_id002	YBR017C
YBR017C_id001	YBR017C
YBR018C_id001	YBR018C
YBR019C_id001	YBR019C
YBR020W_id001	YBR020W
YBR021W_id001	YBR021W
YBR021W_id011	YBR021W
YBR022W_id001	YBR022W
YBR022W_id002	YBR022W
YBR023C_id001	YBR023C
YBR023C_id003	YBR023C
YBR024W_id004	YBR024W
YBR024W_id001	YBR024W
YBR025C_id001	YBR025C
YBR025C_id002	YBR025C
YBR026C_id001	YBR026C
YBR026C_id006	YBR026C
YBR027C_mRNA	YBR027C
YBR028C_id007	YBR028C
YBR028C_id001	YBR028C
YBR029C_id003	YBR029C
YBR029C_id001	YBR029C
YBR030W_id003	YBR030W
YBR030W_id001	YBR030W
YBR031W_id004	YBR031W
YBR031W_id001	YBR031W
YBR032W_id001	YBR032W
YBR033W_id001	YBR033W
YBR034C_id001	YBR034C
YBR034C_id005	YBR034C
YBR035C_id003	YBR035C
YBR035C_id001	YBR035C
YBR036C_id001	YBR036C
YBR036C_id003	YBR036C
YBR037C_id001	YBR037C
YBR037C_id005	YBR037C
YBR038W_id001	YBR038W
YBR038W_id003	YBR038W
YBR039W_id002	YBR039W
YBR039W_id001	YBR039W
YBR040W_mRNA	YBR040W
YBR041W_id001	YBR041W
YBR041W_id003	YBR041W
YBR042C_id002	YBR042C
YBR042C_id001	YBR042C
YBR043C_id001	YBR043C
YBR043C_id002	YBR043C
YBR044C_id001	YBR044C
YBR045C_mRNA	YBR045C
YBR046C_id001	YBR046C
YBR046C_id002	YBR046C
YBR047W_id001	YBR047W
YBR047W_id002	YBR047W
YBR048W_id001	YBR048W
YBR048W_id005	YBR048W
YBR049C_id001	YBR049C
YBR049C_id003	YBR049C
YBR050C_id002	YBR050C
YBR050C_id001	YBR050C
YBR051W_mRNA	YBR051W
YBR052C_id001	YBR052C
YBR052C_id004	YBR052C
YBR053C_id001	YBR053C
YBR053C_id002	YBR053C
YBR054W_id008	YBR054W
YBR054W_id001	YBR054W
YBR055C_id001	YBR055C
YBR055C_id002	YBR055C
YBR056W_id008	YBR056W
YBR056W_id001	YBR056W
YBR056W-A_id003	YBR056W-A
YBR056W-A_id001	YBR056W-A
YBR056C-B_id001	YBR056C-B
YBR057C_id002	YBR057C
