gene_id	score
YKL188C	3.67706678189734
YLR055C	3.67334431340311
YKL162C-A	3.67330681904107
YBR007C	3.67255194604904
YGL167C	3.67029273722622
YOR377W	3.66762277570071
YBR058C-A	3.66678350150802
YOR087W	3.6587518155505
YLR187W	3.64758688950797
YLR309C	3.64094755687144
YPR073C	3.63853338967237
YPR094W	3.63788361356674
YPL188W	3.61997388109831
YKL113C	3.61974188087649
YER069W	3.61634568548532
YMR200W	3.6015901185867
YBR057C	3.60145681906615
YKL033W-A	3.60017474933455
YPR006C	3.59874726040426
YDL067C	3.59499713884215
YKR095W-A	3.58901136639141
YLL001W	3.58813153352648
YMR058W	3.58374473859247
YGL222C	3.58184873113436
YGR153W	3.57447222037468
YGR122C-A	3.56508877491659
YDR181C	3.54994350322543
YKL117W	3.5415617979908
YLR421C	3.53872172423608
YKR101W	3.53611583301151
YBR043C	3.5359706731487
YLR212C	3.53551122191375
YFR027W	3.53352695832376
YGR258C	3.52583784837547
YIL055C	3.51770067082803
YLR027C	3.50909042786284
YBR202W	3.50732688354909
YIL041W	3.50724851886928
YFR047C	3.50180785882007
YBL017C	3.50133970374172
YBL084C	3.49093013714832
YOR075W	3.48989516637492
YLR248W	3.48465869376862
YNL219C	3.48360870091119
YPL147W	3.48329770264129
YPR049C	3.48241444205931
YBR010W	3.48059692967599
YBR023C	3.48049192491735
YHR158C	3.47264638476496
YPL078C	3.47219296271444
YLR141W	3.47137935070166
YMR252C	3.4692709790271
YHL023C	3.46667823913288
YMR155W	3.46306970216748
YER187W	3.46209400823744
YOR020W-A	3.45812361881525
YHR029C	3.45663862278998
YDR022C	3.45465632553567
YNCG0010W	3.45260284643146
YLR037C	3.45104806222636
YBR183W	3.44900692211244
YOR142W	3.44559670556056
YBR018C	3.4444579464232
YHR176W	3.4432162763858
YLR099W-A	3.43907609837341
YPR134W	3.43845571452869
YLR025W	3.43590517578023
YCR079W	3.43011520002398
YJL185C	3.42953189141829
YOR262W	3.42278302584059
YMR089C	3.41940224878953
YPR138C	3.40583777849955
YHR150W	3.40064434968609
YML007W	3.39966827657786
YDR016C	3.39929597622431
YPL249C	3.39677487021131
YJR107W	3.39055359931931
YMR030W	3.39041168010622
YML038C	3.38913601668419
YFL041W-A	3.38709090287142
YGL049C	3.38506102495552
YBR114W	3.37987330737368
YBL029C-A	3.37704627673247
YLR224W	3.37003078988094
YMR163C	3.36943224564997
YKL141W	3.35990168340183
YPR014C	3.35970543812286
YKL048C	3.35840741944928
YJL106W	3.35796457848621
YPL267W	3.35488194111186
YOR375C	3.35278109776499
YNL271C	3.35024775524019
YPR198W	3.34276063453004
YKL203C	3.34207294418422
YOL034W	3.33337377803471
YLR119W	3.33044022571798
YLR459W	3.32985241359288
YDR058C	3.32212128447863
YNL082W	3.32068644433694
YDR098C	3.31892942636392
YGR235C	3.31873386388545
YJL004C	3.31698387375643
YCR036W	3.31578670621489
YAL049C	3.31546498670688
YAR035W	3.31347754636766
YLR296W	3.31138652975182
YMR017W	3.31041094114757
YJR110W	3.30922192965195
YKR020W	3.30503605456044
YBL041W	3.298171157287
YKL179C	3.29174342088833
YGR047C	3.29037244909937
YGR207C	3.29034620720319
YHR207C	3.28911908841761
YIL156W-B	3.28578122986846
YNL273W	3.28446012324586
YLR383W	3.2833487604792
YDR200C	3.28078936803234
YLR072W	3.27783452962544
YDL018C	3.27773367605285
YGR046W	3.2747332201774
YMR144W	3.27420151612348
YIL042C	3.2741790224402
YJR089W	3.27036231851162
YBL040C	3.26929704550655
YMR074C	3.26473973764716
YDL004W	3.26372048693196
YGL047W	3.26320961580748
YER041W	3.26073457477266
YBR039W	3.25973629348907
YDR128W	3.25465385954662
YHR114W	3.25307941239028
YIL046W-A	3.25304169712711
YLR043C	3.25196530335619
YJL155C	3.24773766527518
YLR093C	3.24559949890063
YGL127C	3.24095099036843
YOR114W	3.23868524441544
YCR107W	3.23525721708924
YFR026C	3.23483006277902
YML086C	3.23438479709607
YEL012W	3.22935368357475
YAR053W	3.22724916198772
YKL129C	3.22561888599973
YPL271W	3.21763630866466
YOR141C	3.21534431215015
YHR063C	3.20656683462568
YKL034W	3.20546232371051
YLR238W	3.19674392115897
YDR379W	3.19548122988773
YCR042C	3.19528425965018
YOR226C	3.18451517804462
YLR313C	3.18134885791073
YDR076W	3.17363644646431
YPL274W	3.17229313189983
YIR029W	3.17135706617774
YJL219W	3.17071177400925
YER164W	3.16950670682751
YGR107W	3.1657285072163
YPL241C	3.16364063427806
YOL069W	3.16229955823415
YOL156W	3.16105848924188
YHR073W	3.15910731487296
YKL178C	3.15094082887025
YLR450W	3.14986045162617
YOR034C	3.14765191077911
YKL042W	3.14604081288883
YPL272C	3.14050055645912
YNL039W	3.1392441171449
YJL020C	3.13469337050942
YGR284C	3.131862062395
YPL071C	3.12718327336924
YIR032C	3.12138275917892
YIL159W	3.12015325188168
YDR176W	3.11961853071346
YOR324C	3.11879973592361
YBR177C	3.11653976823028
YMR018W	3.11499549655069
YJL100W	3.11051012567367
YLR233C	3.1101797456046
YKR071C	3.10990476173925
YJL218W	3.10896429753524
YAL034W-A	3.10619025261354
YMR226C	3.10284705736384
YNL200C	3.10229819696954
YGL020C	3.10192749833879
