gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YMR244C-A	5.42493653994183	1.68076518938823	0.322528071876209	5.21122139729074	1.87601408625181e-07	1.90326017156341e-06
YHR169W	13.3920725704601	-1.19298818153225	0.229018291412462	-5.20913929701656	1.8971864456202e-07	1.91931345816091e-06
YDL010W	11.522497354377	1.10759215136377	0.212791172118718	5.20506626443055	1.93927393337991e-07	1.95766359998955e-06
YDR225W	362.703343412385	-0.422717303504132	0.0813828080251092	-5.19418429717625	2.05619373765055e-07	2.06235791587905e-06
YMR308C	87.5236289343621	-0.537420163839739	0.103461668208825	-5.19438912153456	2.05393140895649e-07	2.06235791587905e-06
YNL251C	63.2078978856991	-0.63762188434229	0.122749110162207	-5.19451329219173	2.05256108900652e-07	2.06235791587905e-06
YBR035C	60.6848455726825	0.510245931975088	0.0982651869185279	5.1925401861611	2.07444074997961e-07	2.07621377626165e-06
YLL026W	381.35250343468	-0.904722706060926	0.174498432392718	-5.18470391771085	2.16358305099273e-07	2.16081514090617e-06
YDR054C	113.083308162452	0.410093913504403	0.0791074929242097	5.18400847183086	2.17167061971788e-07	2.16427769845927e-06
YLR213C	16.2190277696264	0.956045974235111	0.184752806733392	5.17473044734165	2.28240247639894e-07	2.26980322706001e-06
YML001W	64.1040377664315	0.526291876298703	0.101754684480421	5.17216361080623	2.31398830350516e-07	2.29633924017334e-06
YGR067C	9.15933286730533	1.36307086295504	0.263640542115892	5.1701868461333	2.33860053100545e-07	2.31585727002739e-06
YJL138C	111.32814930604	-0.377337518859647	0.0729930709922059	-5.16949778561774	2.34723915958463e-07	2.31950806402836e-06
YGL078C	33.3180758178125	-0.795560029900893	0.154041997873978	-5.16456577349602	2.40997724472107e-07	2.3764912451102e-06
YNL302C	531.88098919531	-0.537605011130011	0.10442212413395	-5.14838225700509	2.62742630483265e-07	2.58547580080591e-06
YGR192C	4571.22049028316	-0.692644991125368	0.134688115928589	-5.14258430560129	2.70984773941113e-07	2.66099094578653e-06
YJR025C	38.8792617314559	0.648769997225786	0.126423188063143	5.13173261302153	2.8708714176184e-07	2.81321374898004e-06
YDR384C	33.5646045430362	-0.690172023190004	0.134556686156776	-5.12922875037116	2.90931645035263e-07	2.8449349172133e-06
YPL156C	8.35969307467557	-1.3584070327233	0.264950367788985	-5.12702452183491	2.94357189771645e-07	2.87243557685497e-06
YGL186C	55.1675244977732	-0.655155093550992	0.127840100564011	-5.12480114346396	2.97851937020799e-07	2.90049578587406e-06
YKL103C	94.9755632925888	0.659824488258831	0.129069519143506	5.11216352735616	3.18489935200131e-07	3.09503497194484e-06
YOL011W	38.1601846844008	-0.589154406060674	0.115389998690149	-5.10576664137678	3.29456062578994e-07	3.19497349300208e-06
