gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YML093W	27.273044	10.308889	30.518786	16.716768	35.20814	17.349741	13.9476	27.089601	32.396902	33.243916	21.851825	35.123634	30.038216	47.225387	38.592257	44.19209	31.813737	54.573196	49.244428	19.174443	28.65791	23.733909	20.234301	29.874522
YML094C-A	0	0	0	0	0	0	14.29709	0	0	0	0	22.045388	125.369172	0	0	0	0	0	0	0	0	0	0	0
YML094W	55.493068	39.124992	92.258774	54.422369	52.292029	64.492302	98.149789	73.129549	56.030893	129.340814	69.913281	81.71954	16.825955	82.363323	65.878639	84.127259	80.455844	104.438841	99.749027	53.921963	41.155192	48.253887	67.668042	116.621284
YML095C	21.980288	12.109452	10.602737	16.730668	21.142541	0	25.26318	0	8.310842	12.767479	26.351305	0	9.13723	19.776071	7.606029	13.701827	19.378558	13.639174	12.405337	0	0	12.798358	4.597718	14.168591
YML096W	9.583216	9.318424	13.642618	2.064622	11.118822	10.023121	2.027093	6.458075	3.860913	0	2.928785	17.472603	8.42459	12.36799	13.927919	20.305277	12.417082	14.9853	5.974924	12.570597	10.497881	0	10.788176	7.307391
YML097C	12.79584	19.332033	24.312689	10.593353	25.27375	11.712811	18.958671	16.173354	21.374758	10.235679	20.681439	20.511274	17.002044	21.365666	8.888663	17.395339	21.297169	28.026436	22.916993	11.55774	5.898463	21.879992	12.402714	14.180831
YML098W	73.311943	38.073797	59.33014	49.020983	55.556743	71.301067	73.812716	54.572706	67.354999	69.115989	77.475124	45.198625	50.91928	42.844041	53.04826	33.976406	32.851296	60.422932	30.74235	47.594493	50.691605	37.968811	29.710375	54.164702
YML099C	21.08088	13.882163	23.515521	10.12203	23.708488	17.522639	27.201892	13.028363	18.032997	17.39149	26.195204	16.801038	14.05887	15.001553	8.251409	19.683482	18.319123	19.681901	16.090791	9.511641	21.88411	16.215291	10.525627	18.124861
YML099W-A	86.567561	0	59.177539	37.22025	62.358116	0	0	0	34.80622	49.174607	102.564076	150.10271	0	0	58.792092	0	0	0	0	28.116713	0	0	49.236097	73.046551
YML100W	160.319108	156.503449	139.80868	89.272289	170.016171	160.867355	160.467269	107.686328	116.648346	172.491983	215.54268	166.932274	258.880517	74.512887	155.266582	124.254957	245.422974	59.540948	89.141463	225.29147	155.202955	172.833819	194.393769	219.985257
YML100W-A	29.454473	12.346258	7.921215	14.866126	9.467487	15.067322	16.073771	19.910652	21.29543	20.819943	21.768691	13.406685	12.140233	11.773233	2.686123	26.304608	0	9.256407	26.859716	11.935557	6.886803	4.337335	15.78124	23.286866
YML101C	213.175509	171.263047	237.952699	108.964819	207.132248	149.194242	250.124315	99.019681	130.663815	137.146756	156.287634	156.919027	43.373712	60.72022	93.96419	0	90.605156	97.013271	50.346156	59.022619	133.04832	34.950372	29.990131	122.314505
YML101C-A	28.14934	51.393731	39.887979	23.739898	45.976266	40.57993	29.053675	10.807633	37.690632	32.439812	0	49.315071	39.666335	31.648022	29.149074	22.864843	0	10.658841	19.164332	26.429612	47.175678	31.824225	30.22382	0
YML102W	42.917955	0	6.719097	0	0	0	2.96153	12.422223	0	6.565533	73.086429	0	6.758847	7.199777	7.632847	8.385147	36.528722	9.441773	0	6.866202	0	0	14.090922	18.413092
YML103C	26.676193	14.39377	19.088333	11.891588	20.072222	20.154824	17.929968	14.769298	16.598434	17.419498	17.688508	25.479072	17.185503	19.607987	14.118618	24.281344	22.552068	18.960845	15.773769	9.943992	7.417148	17.543876	6.201941	12.096554
YML104C	10.456206	7.89865	13.568752	7.82869	14.292467	6.204593	9.625261	11.51173	14.795176	11.830071	15.905861	18.201909	10.122943	7.120573	3.424411	11.575593	13.885152	13.771131	8.225093	4.444463	7.371716	12.458841	5.299326	4.241345
YML105C	113.328852	67.690808	96.059978	58.854631	105.337367	74.786996	89.766056	109.865369	98.617154	81.920158	96.991207	137.790216	117.15465	70.410863	80.554972	100.208472	97.17941	87.23033	80.558168	59.513592	48.596173	88.40802	74.934425	67.503415
