gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YHR039C-A	122.525762280255	0.352747409038557	0.0878351933197434	4.01601448925447	5.91906181778727e-05	0.000406935499972875
YHR148W	8.35123379031206	-1.11288447404138	0.277347972982161	-4.01259278038047	6.00554627795662e-05	0.000411861846593198
YOR052C	66.1258820847658	-0.431196885794798	0.107458022884511	-4.01270071996598	6.00279989832412e-05	0.000411861846593198
YER082C	22.8334574132955	-0.719545198669185	0.179391929905949	-4.01102323302073	6.04561600819194e-05	0.000414098605739904
YKR002W	39.9879439552473	0.473085832281997	0.117984964866457	4.00971287161433	6.07926261508733e-05	0.000415890441216873
YMR034C	8.51886657471638	1.13474847015961	0.283033134187754	4.00924249881944	6.09138372894805e-05	0.000416207092426893
YOL016C	162.216355791515	-0.879033493799356	0.219280497871736	-4.00871715602147	6.10494842279298e-05	0.000416621480204115
YBR269C	29.7573832353601	0.550231423848487	0.137384271384558	4.00505398691756	6.20033188264457e-05	0.000422611578013381
YLR397C	21.3626253884074	-0.639052806458499	0.15962660766981	-4.00342283650098	6.24325706663098e-05	0.000425015845651165
YDR430C	38.8337992931831	-0.446693874892717	0.111590998156018	-4.00295617275672	6.25558940353702e-05	0.000425334138759463
YJL212C	33.1598087742417	-0.482620695646303	0.120697769728615	-3.99858834783327	6.3721395774343e-05	0.000432729038540923
YAR008W	14.6681105979797	0.710922423191357	0.177928421799005	3.99555290831751	6.45434401526863e-05	0.000437761148335574
YKR059W	93.5066644119129	-0.347178863499987	0.0868974276505642	-3.9952720452909	6.46200074950802e-05	0.000437761148335574
YHR183W	291.94311454558	-0.430762731872318	0.107918081136223	-3.99157145250361	6.56369055210807e-05	0.000443860209719259
YOR272W	27.2828812815947	-0.678942499272274	0.170100687313467	-3.99141537871095	6.56801246425259e-05	0.000443860209719259
YKR026C	32.8783561104202	-0.512223403546978	0.128381461101434	-3.98985491481726	6.61137233317623e-05	0.00044624754934136
YER127W	11.8732171999386	-0.900765631084312	0.225918651704544	-3.98712379118803	6.68791345958153e-05	0.000450866010533682
YHL040C	25.6754160910501	-0.60722449919274	0.152541367760932	-3.98072016860634	6.87067937978169e-05	0.000462625744905301
YIL077C	33.2437516876104	0.534249987880672	0.134235661240943	3.97994082155065	6.89324257943044e-05	0.000463583081461696
YPL037C	350.801120433941	-0.339128894722694	0.0853235750471312	-3.97462125251275	7.04913429777677e-05	0.000473493845515719
YDR383C	11.9332108313011	0.818473803894866	0.205960688940852	3.97393215231435	7.06957091305676e-05	0.000474293072729835
YGR186W	106.270503362549	0.357687825714151	0.0900555747699133	3.97185656332795	7.13146576068139e-05	0.000477868423408747
YLR414C	132.933453250222	0.661794837247839	0.166677336487215	3.97051483540236	7.17174900347085e-05	0.000479988743545549
YBL039W-B	10.3165955537935	0.880250076087373	0.221936794974253	3.96621964460417	7.30215754514145e-05	0.000488128581988698
YMR198W	22.9910679696804	0.566358786420489	0.142835750463073	3.96510526660416	7.33635639180338e-05	0.000489825237457545
YDL090C	21.9052817607941	0.587107940520336	0.14821369610543	3.96122595919006	7.45659271096842e-05	0.00049725537226206
YBR127C	254.41605253448	-0.257525715848159	0.0650268207533767	-3.9602999633776	7.48556753896139e-05	0.000498589060898447
YAR002C-A	67.1601216769483	0.35068834501799	0.0886125983189961	3.95754499552703	7.57240263971454e-05	0.000503768822318734
YFL052W	12.7062931195222	-0.774791692885112	0.195920482099933	-3.9546232460265	7.66553494493823e-05	0.000509053086563741
YJL192C	45.168642508805	0.429453626314329	0.108599293703534	3.95447899952921	7.67016081825115e-05	0.000509053086563741
YGL122C	110.162806838091	-0.354422554162639	0.0896449179829299	-3.9536268439682	7.69754268825379e-05	0.000510260735480308
YJL210W	17.9899913688786	0.672885213373861	0.170285331424716	3.95151600988807	7.76576758496133e-05	0.000514169713164007
YGL253W	1204.5615906336	-0.243262545331137	0.0616073320949864	-3.94859730260798	7.86104628752244e-05	0.000519858477704609
YMR316W	38.7107033377986	-0.678320007837148	0.171803899982448	-3.94822240884197	7.87336416203116e-05	0.000520053958621678
YOR356W	47.0427838511097	0.449695368003678	0.113907730471306	3.94789156225846	7.88424993487869e-05	0.000520154493922222
YPR112C	24.5356552685042	-0.898082361041228	0.227597442043324	-3.94592466847793	7.94926052384845e-05	0.000523821378528803
YPL107W	14.7475971853448	0.721618907045495	0.182941919017699	3.94452463885919	7.99584325566215e-05	0.000526266697691982
YBR263W	112.210486449611	-0.328450349061815	0.0832925449989931	-3.94333429319257	8.03565209160267e-05	0.000528172408287804
YHR196W	12.3340131841312	-1.16560168733708	0.295615441245397	-3.94296618074659	8.04800078760998e-05	0.000528172408287804
YLR342W-A	27.0595882851037	0.691449006421284	0.175369699635014	3.94280772482563	8.05332186894275e-05	0.000528172408287804
YPL090C	207.683349401455	-0.444572335597856	0.112797663679621	-3.94132574288572	8.10324930718996e-05	0.000530820163932079
YJL109C	38.9886768209183	-0.752353580622095	0.191037633602	-3.9382480113291	8.20787324154903e-05	0.000536408657138881
YKL044W	2.32903145255554	2.24340195317455	0.569635825672984	3.93830909515589	8.20578440552494e-05	0.000536408657138881
YPR141C	11.3133235589759	0.798080226754063	0.2026989582749	3.93726851655403	8.24143697906902e-05	0.000537969241113142
YPL018W	6.1930270958005	-1.10484218306998	0.28080752045663	-3.93451778383059	8.33638964909671e-05	0.000543528691323148
YDR405W	40.1317616801042	-0.506692252374538	0.129049219154553	-3.92634884344174	8.62450487030099e-05	0.000561654449642697
YPL006W	39.4923757271804	0.477114002359437	0.121558141464745	3.92498599115068	8.67347853352309e-05	0.000564182356600946
YGR239C	12.5555912982309	0.766619121104584	0.195485859997039	3.92160906735758	8.79596179430626e-05	0.000571480324764576
YPR079W	27.4263415199596	0.527894543175976	0.134862765756946	3.91430904010501	9.06634560864584e-05	0.000588359227290043
YIL093C	23.5847725450969	-0.604927426260727	0.154644480942467	-3.91172981133274	9.16373993861125e-05	0.000593985710139854
YDR026C	27.9467914562523	0.525316498920311	0.134303081132609	3.91142551972894	9.17529525282736e-05	0.000594041551625361
YOR020C	101.186231267429	-0.389700463423423	0.0996603455970959	-3.91028609311564	9.21868674900836e-05	0.000596156052278713
YKR097W	6.77465353797681	1.12315794272154	0.287404380904819	3.90793605576075	9.30879339516875e-05	0.000601258758307024
YOR303W	71.8880007775567	-0.33793079390754	0.0864789573512252	-3.90766498877952	9.31924016025827e-05	0.000601258758307024
YOR374W	405.464754197334	0.529984627736327	0.135638195696995	3.90734059099599	9.33175681778226e-05	0.000601367855252674
YIL133C	280.838086936805	-0.26604841657194	0.068152767642634	-3.90370671323272	9.47305674694455e-05	0.000609060535061076
YPL153C	11.7223835089772	0.858377408745305	0.219887100187319	3.90371880848884	9.47258310067697e-05	0.000609060535061076
YMR121C	34.9385434558307	0.512505910683298	0.131383150446714	3.90084960621461	9.58556888553529e-05	0.000615581909354318
YAL001C	26.6213854566087	0.567343020046787	0.145543244611565	3.89810617154337	9.69479119367342e-05	0.000621877194929052
YDR502C	110.030462653491	-0.411419820534231	0.105704352066097	-3.8921748489312	9.93496006702631e-05	0.000636547902795054
YFL007W	70.1320613506258	-0.334752017644135	0.0863131826626121	-3.87834172391303	0.000105170916998288	0.000672667549953918
YPL270W	55.4499863166828	0.380802460996689	0.0981903402704113	3.87820695954386	0.0001052291810819	0.000672667549953918
YDL070W	69.7080214134635	-0.482196510153167	0.124423865354211	-3.87543425676775	0.000106434714310564	0.000679591767810554
YIL148W	480.937029237844	-0.295635327084654	0.076353580600177	-3.87192486273484	0.000107979241488622	0.000688662096979675
YOR369C	1286.53863038196	-0.435323416584251	0.112552112661675	-3.86774984751115	0.000109844260979085	0.00069975329098488
YPR110C	59.4538734610886	-0.425945503861108	0.110267724968316	-3.86283025231088	0.000112080891832054	0.000713183681703389
YJR077C	136.647421610378	0.315748604759698	0.0817894030756017	3.86050750936325	0.000113151763086386	0.000719173963323653
YDR341C	126.229216278678	-0.297929140813477	0.0773094990779676	-3.85371971577531	0.000116336767884861	0.000738572280686176
YHR026W	158.033265869788	0.277576471613805	0.0720990818486161	3.84993074109629	0.000118151229616462	0.000749235251734529
YOL104C	2.01488285875109	-2.12937727144973	0.554677954703041	-3.83894339660522	0.000123564910027176	0.000782671693501667
YDL233W	25.21384259857	0.594263047395128	0.154827781544817	3.83821973980239	0.000123929556110667	0.00078319531762771
YJL154C	70.4177510739692	-0.317683817351844	0.0827684555149816	-3.83822333490736	0.000123927742055376	0.00078319531762771
YGR145W	33.2847470412099	-0.552404170371477	0.144017625551811	-3.83567058722786	0.000125222154603721	0.000790464850935989
YKR056W	15.0600698132324	-0.70744895900206	0.184498420563217	-3.83444452718044	0.000125848368903851	0.000793516105857991
YIL079C	9.55833576248476	-0.853138768673987	0.222563338821581	-3.83324034044039	0.0001264662836915	0.000796508169961771
YLR273C	7.25255126119279	1.02929230020566	0.268578859452918	3.83236529599641	0.000126917095654748	0.000798442204260615
YGR210C	34.1367383956098	-0.53007166325087	0.138355275801398	-3.83123563724279	0.000127501321788982	0.00080121022911515
YMR177W	16.6919760408935	-0.665225153076976	0.173659025818583	-3.83063966840352	0.000127810559682126	0.000802245942411535
YLR080W	13.491762107411	0.772839885339944	0.201803730472454	3.82966104506891	0.000128319884222728	0.000804533811351304
YGR175C	139.804889699025	-0.361700427266153	0.0945030794818384	-3.82739302517295	0.000129507638524117	0.00081106531229027
YPR081C	18.6841516336519	0.654162046788876	0.170998722298384	3.82553762973386	0.000130486999759988	0.000816278472597672
