gene_id	log2FoldChange	padj
TRINITY_DN5050_c0_g1_i1	-1.03236440261052	1.38437741336356e-14
TRINITY_DN5419_c0_g1_i1	-1.99499086310312	4.03586457108715e-14
TRINITY_DN6168_c0_g1_i1	-2.07407359145042	4.33268649244236e-14
TRINITY_DN8870_c0_g1_i1	-1.70742576615535	4.79560583829184e-14
TRINITY_DN1885_c0_g1_i1	-1.1595362868092	5.26929410978844e-14
TRINITY_DN198_c1_g1_i1	-2.27609426779629	5.43026151324793e-14
TRINITY_DN5839_c0_g1_i1	-2.05883886311988	6.72748330365911e-14
TRINITY_DN8726_c0_g1_i1	-2.17692713942861	7.60397388933209e-14
TRINITY_DN9119_c0_g1_i1	-1.18428881731764	1.21203024909348e-13
TRINITY_DN5857_c0_g1_i1	-1.44434345516938	1.3927673839457e-13
TRINITY_DN4469_c0_g1_i1	-1.25826410554476	2.48594670703975e-13
TRINITY_DN5623_c0_g1_i1	-1.08725548360591	3.52494796042057e-13
TRINITY_DN1504_c0_g1_i1	-1.70298463680111	8.3488742573289e-13
TRINITY_DN1946_c0_g1_i1	-1.7037395795261	9.84738688029979e-13
TRINITY_DN3530_c0_g1_i1	-1.09320930915004	9.99880550363312e-13
TRINITY_DN5183_c0_g1_i1	-1.2842534167443	1.09925579480726e-12
TRINITY_DN2494_c0_g1_i1	-2.25525389317474	1.2398987369392e-12
TRINITY_DN4569_c0_g1_i1	-2.5525077456639	2.7650831196887e-12
TRINITY_DN1713_c0_g1_i1	-1.94837171139499	3.54689201844787e-12
TRINITY_DN3666_c0_g1_i1	-1.05912833446615	6.75015150033345e-12
TRINITY_DN385_c0_g1_i1	-1.02293022243203	1.19647712389904e-11
TRINITY_DN2479_c0_g1_i1	-1.47556420067048	1.63090354542177e-11
TRINITY_DN3409_c0_g1_i1	-1.30404187973991	1.84409883552837e-11
TRINITY_DN3905_c0_g1_i1	-1.39584263980964	2.15365026502559e-11
TRINITY_DN5928_c0_g1_i1	-4.44535800010051	3.23208397394895e-11
TRINITY_DN7986_c0_g1_i1	-1.08354905272652	5.63097470829643e-11
TRINITY_DN1295_c0_g1_i1	-1.55812722404641	1.46671790659284e-10
TRINITY_DN2877_c0_g1_i1	-1.69974275300969	1.51977888568425e-10
TRINITY_DN5475_c0_g1_i1	-1.00680245980378	1.97653355908214e-10
TRINITY_DN6847_c0_g1_i1	-1.04369561581501	3.26296075730191e-10
TRINITY_DN8034_c0_g1_i1	-2.454978915519	4.36770680285947e-10
TRINITY_DN5248_c0_g1_i1	-1.03292334876147	2.21963421143175e-09
TRINITY_DN65_c0_g1_i4	-2.28749480978305	2.39409254458566e-09
TRINITY_DN6793_c0_g1_i1	-1.13848143971169	4.18374365384081e-09
TRINITY_DN8631_c0_g1_i1	-3.44640637007374	4.94312828461053e-09
TRINITY_DN6069_c0_g1_i1	-2.21139632167703	6.11370281918459e-09
TRINITY_DN2107_c0_g1_i1	-1.09082655126655	9.89425088340278e-09
TRINITY_DN4945_c0_g1_i1	-4.2802794157791	1.1591754978233e-08
TRINITY_DN194_c0_g1_i3	-2.57393537469073	1.21898629301215e-08
TRINITY_DN439_c0_g1_i1	-1.31657679812283	1.59511723744166e-08
TRINITY_DN1508_c0_g1_i1	-1.37858120547788	1.78430908332682e-08
TRINITY_DN26_c1_g1_i15	-3.17756937682984	2.03621895775757e-08
TRINITY_DN7084_c0_g1_i1	-1.12846367829869	2.44840624117298e-08
TRINITY_DN5732_c0_g1_i1	-1.26212596167871	2.48529212179085e-08
TRINITY_DN4570_c0_g1_i1	-2.10478626403543	2.71280169576818e-08
TRINITY_DN7267_c0_g1_i1	-1.80888023312295	3.36851190207363e-08
TRINITY_DN5355_c0_g1_i1	-1.11269846674557	4.51320368582574e-08
TRINITY_DN2051_c0_g1_i1	-3.75079079937644	6.24796455651217e-08
TRINITY_DN2228_c0_g1_i1	-1.59101663546064	6.66556170803643e-08
TRINITY_DN5893_c0_g1_i1	-1.52238867946509	7.0169921378008e-08
TRINITY_DN318_c0_g1_i1	-1.07122847682651	7.07643816518936e-08
TRINITY_DN1177_c0_g1_i1	-1.24031666587109	1.22184622073546e-07
TRINITY_DN8063_c0_g1_i1	-1.31580703837442	1.30256225461482e-07
TRINITY_DN1888_c1_g1_i1	-1.02334872971771	1.51625501500362e-07
TRINITY_DN1267_c0_g1_i1	-2.80547901439688	1.62215477327683e-07
TRINITY_DN154_c0_g1_i2	-1.23190021980201	1.91409236424284e-07
TRINITY_DN6754_c0_g1_i1	-3.72805017881139	2.17493218470696e-07
TRINITY_DN7364_c0_g1_i1	-1.44493136988647	2.77289828689161e-07
TRINITY_DN3994_c0_g1_i1	-1.33240205461317	3.05984280756507e-07
TRINITY_DN711_c0_g1_i1	-1.09876003926436	3.0717826516594e-07
TRINITY_DN1492_c0_g1_i1	-2.34539564285336	3.2551870645715e-07
TRINITY_DN26_c1_g1_i13	-8.32860397567259	3.92738568499998e-07
TRINITY_DN1742_c0_g1_i1	-2.17250280868575	4.19131029357558e-07
TRINITY_DN2923_c0_g1_i1	-1.5892543384634	4.30077859057008e-07
TRINITY_DN4940_c0_g1_i1	-2.2253434947721	5.24235283702674e-07
TRINITY_DN4252_c0_g1_i1	-1.43859352603685	5.45951616802718e-07
TRINITY_DN5665_c0_g1_i1	-1.37595734639243	6.88264014895048e-07
TRINITY_DN4092_c0_g1_i1	-1.09495275933901	6.98118996222097e-07
TRINITY_DN4528_c0_g1_i1	-2.59427306903062	8.04172220105506e-07
TRINITY_DN8292_c0_g1_i1	-3.3204261182483	8.75155066656988e-07
TRINITY_DN2716_c0_g1_i1	-1.20053672372377	1.11490230606355e-06
TRINITY_DN7856_c0_g1_i1	-2.38700476091854	1.24327952311498e-06
TRINITY_DN4460_c0_g1_i1	-1.13641381742864	1.62040828133295e-06
TRINITY_DN5943_c0_g1_i1	-1.4611978585587	1.79269701499897e-06
TRINITY_DN26_c1_g1_i4	-3.92361255406084	2.38374575694528e-06
TRINITY_DN168_c0_g1_i2	-1.00138548470292	2.44281662825701e-06
TRINITY_DN9454_c0_g1_i1	-1.38712280427392	2.59038545643507e-06
TRINITY_DN2129_c0_g1_i1	-1.0159609017686	2.72665147598098e-06
TRINITY_DN8145_c0_g1_i1	-1.5999410911421	3.11222429461473e-06
TRINITY_DN7197_c0_g1_i1	-1.51953411848589	3.46220192785926e-06
TRINITY_DN9102_c0_g1_i1	-3.84661678601985	4.08763703950802e-06
TRINITY_DN267_c0_g1_i1	-3.39734485029409	4.64034181665709e-06
TRINITY_DN6097_c0_g1_i1	-1.25371592159353	4.89303471123456e-06
TRINITY_DN8567_c0_g1_i1	-2.45556204525905	5.31947071513387e-06
TRINITY_DN8940_c0_g1_i1	-3.67297124747363	6.12310047834668e-06
TRINITY_DN1847_c0_g1_i1	-1.04397362677014	8.82213538592223e-06
TRINITY_DN7595_c0_g1_i1	-1.56798856829604	1.13655576273693e-05
TRINITY_DN3476_c0_g1_i1	-1.70392843420024	1.14179767951399e-05
TRINITY_DN8519_c0_g1_i1	-2.30115215156038	1.32507861536186e-05
TRINITY_DN7703_c0_g1_i1	-1.75765427848492	1.5522750685496e-05
TRINITY_DN6688_c0_g1_i1	-1.24861299259452	1.72515896594093e-05
TRINITY_DN1812_c0_g1_i1	-1.22835969036686	1.84168445469599e-05
TRINITY_DN4275_c0_g1_i1	-1.27148568662217	1.89811835967601e-05
TRINITY_DN760_c0_g1_i1	-1.22224459606974	2.27305897648926e-05
TRINITY_DN3282_c0_g1_i1	-2.18474701576276	2.34254871833736e-05
TRINITY_DN1644_c0_g1_i1	-1.9616725805814	2.68173881997372e-05
TRINITY_DN7008_c0_g1_i1	-1.88240626939193	2.71848078882998e-05
TRINITY_DN6825_c0_g1_i1	-1.15804471008442	2.80699707513661e-05
TRINITY_DN57_c1_g1_i1	-1.04903060282176	3.00474748793499e-05
TRINITY_DN5729_c0_g1_i1	-1.50538057234732	3.37690771242086e-05
TRINITY_DN8706_c0_g1_i1	-1.94528156974099	3.39819451237605e-05
TRINITY_DN4156_c0_g1_i1	-1.2242556320528	3.41266710257648e-05
TRINITY_DN6121_c0_g1_i1	-1.86323985742354	3.92044963312506e-05
TRINITY_DN7748_c0_g1_i1	-2.097925418601	4.10772862019679e-05
TRINITY_DN6090_c0_g1_i1	-1.40444722391588	4.36672099730367e-05
TRINITY_DN5907_c0_g1_i1	-1.36743103274462	4.38552403432743e-05
TRINITY_DN4828_c0_g1_i1	-1.24058058238404	4.53309313269354e-05
TRINITY_DN11_c0_g1_i1	-1.58223095788929	4.56736145504871e-05
TRINITY_DN8642_c0_g1_i1	-1.0651793798071	4.69895108302069e-05
TRINITY_DN8841_c0_g1_i1	-1.40594623039417	5.00229786404092e-05
TRINITY_DN945_c0_g1_i1	-1.10471497183589	5.34227713045635e-05
TRINITY_DN4312_c0_g1_i1	-1.18243778229341	5.57369067978112e-05
TRINITY_DN2950_c0_g1_i1	-1.52129460881254	6.11942515441912e-05
TRINITY_DN5550_c0_g1_i1	-1.58948838430704	6.35335845428199e-05
TRINITY_DN4853_c0_g1_i1	-1.37903657446699	7.52755264079414e-05
TRINITY_DN78_c0_g1_i3	-1.4376393971619	7.82594410820419e-05
TRINITY_DN4386_c0_g1_i1	-1.3274910532227	9.06527330143673e-05
TRINITY_DN305_c0_g1_i1	-1.17972591498163	9.46371067660657e-05
TRINITY_DN8186_c0_g1_i1	-1.46208059197255	9.89772231852527e-05
TRINITY_DN9097_c0_g1_i1	-2.81066006834205	9.9100604516351e-05
TRINITY_DN9227_c0_g1_i1	-1.05980800496983	0.00012128934899059
TRINITY_DN3881_c0_g1_i1	-1.2459967165517	0.000130465938497478
TRINITY_DN4670_c0_g1_i1	-1.50988231900007	0.000157040163185813
TRINITY_DN4886_c0_g1_i1	-2.03945088646039	0.000162309290227471
TRINITY_DN9195_c0_g1_i1	-3.20628917849455	0.000188277484895506
TRINITY_DN6854_c0_g1_i1	-1.21853136924813	0.00018849962283185
TRINITY_DN2818_c0_g1_i1	-1.50102181301128	0.000236423853285533
TRINITY_DN7658_c0_g1_i1	-3.34881795160676	0.00026217548356659
TRINITY_DN1168_c0_g1_i1	-1.58827057344935	0.000291768290670508
TRINITY_DN1546_c0_g1_i1	-2.39944425304381	0.000301098783181362
TRINITY_DN5255_c0_g1_i1	-1.4761296507929	0.000301752288243965
TRINITY_DN1558_c0_g1_i1	-3.20056395888707	0.000328497433550709
TRINITY_DN7096_c0_g1_i1	-1.32043352216014	0.000348251174449793
TRINITY_DN1214_c0_g1_i1	-1.25560830035334	0.000409438247932614
TRINITY_DN3226_c0_g1_i1	-2.62842072164137	0.00041405521386061
TRINITY_DN6726_c0_g1_i1	-1.60600230096239	0.000451000080933248
TRINITY_DN4564_c0_g1_i1	-1.12632147316297	0.000459906466289933
TRINITY_DN5497_c0_g1_i1	-1.14316522273634	0.000488189394229661
TRINITY_DN7354_c0_g1_i1	-1.21105360186164	0.000508131056677031
TRINITY_DN3161_c0_g1_i1	-1.29630820270412	0.000528424158288884
TRINITY_DN9334_c0_g1_i1	-2.05749567471184	0.000534280482176603
TRINITY_DN8930_c0_g1_i1	-1.04476549535542	0.000585395731831476
TRINITY_DN2831_c0_g1_i1	-1.17004613663859	0.00067435167041762
