transcript_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
TRINITY_DN6213_c0_g1_i1	4.15673909997839	4.49132740754803	4.47761319456976	4.15673909997839	4.47383535987922	4.47736382277145	4.15673909997839	4.48220832667526	4.15673909997839	4.15673909997839	4.15673909997839	4.47282719887076	4.51359002812641	4.15673909997839	4.51400841696821	4.7390744561576	4.15673909997839	4.15673909997839	4.15673909997839	4.5168606814949	4.81377242261489	4.15673909997839	4.15673909997839	4.75789313827693
TRINITY_DN6618_c0_g1_i1	5.1717588110852	4.96743906527287	5.36630324858579	5.15358337915465	5.38980305775151	5.28609128270145	5.09025712172019	5.06422344005002	5.10316699725828	4.95623974037103	5.16455334872044	5.58344080195655	4.77173289215934	5.12014927378895	4.77244682160614	5.03853202010933	5.3110514787279	4.90254271480365	5.06145834215117	5.0953644804564	4.91329076150266	4.51608618321539	4.54094909999477	4.75789313827693
TRINITY_DN6685_c0_g1_i1	4.59681866674123	4.82151947359144	4.79460268547595	4.63388226640163	4.78718077383648	4.79411286557394	4.4727367894152	4.61605643925843	4.60907766045292	4.72564016399346	4.80178977000694	4.60287010187945	4.86512408653975	4.84417956592516	4.8659424630774	4.63327900801667	4.80869127210448	4.73697171220416	4.64594778927738	4.5168606814949	4.53825160225775	4.66363596898844	4.54094909999477	4.50548222512479
TRINITY_DN6636_c0_g1_i1	4.46852313241284	4.73370995431801	4.79460268547595	4.63388226640163	4.47383535987922	4.47736382277145	4.78502195614493	4.61605643925843	4.70962095307909	4.81226037471001	4.48127299224072	4.47282719887076	4.15673909997839	4.50288941245186	4.51400841696821	4.63327900801667	4.61968274483491	4.49323565659432	4.15673909997839	4.77731321170295	4.69473010931346	4.66363596898844	4.15673909997839	4.64875024879431
TRINITY_DN6667_c0_g1_i1	4.6946943991706	4.49132740754803	4.86847550449951	4.82851561150411	5.0934058814777	4.47736382277145	4.92327214765912	4.87850403917735	4.86766733189305	5.07614408882282	4.71651615787663	4.70206321491574	4.77173289215934	4.75346539177487	4.94771641468922	4.82767369135178	4.9519217433933	4.90254271480365	5.32833947607106	4.9539076772057	5.1493740163049	4.51608618321539	4.6985121813651	4.75789313827693
TRINITY_DN6615_c0_g1_i1	5.07817106178847	5.49128277636094	5.54097934986061	5.30063046926584	5.42550933676326	5.43882434350768	5.27049945770708	5.45706678242602	5.50684974518474	5.35862516886048	5.25650696854082	5.42170058857519	5.40715805439383	5.32641698537195	5.36215113191249	5.2992429086701	5.26791624697885	5.78811694977906	5.28088464427862	5.37129249297378	5.439515427885	5.58335837738152	5.28389141941318	5.42368980492614
TRINITY_DN6663_c0_g1_i1	8.00024821033933	7.86306403288101	8.02934207916803	8.11726056786218	7.93939967187705	7.87177158481676	7.99071845992416	7.77663744171734	7.92460448241684	7.9482453580098	7.7994048653498	7.96174830499962	8.19150447172944	7.98380571343456	7.97149070171829	8.03485661889066	8.4574920953079	7.86512968272367	7.9940443474615	8.41292745058317	8.1761928004958	8.5727604785117	8.35480015664145	8.22173836563868
TRINITY_DN6625_c0_g1_i1	4.46852313241284	4.89838571341849	4.15673909997839	5.15358337915465	4.15673909997839	4.47736382277145	4.15673909997839	4.48220832667526	4.47724301862334	4.48660748165303	4.61474191946321	4.60287010187945	4.51359002812641	4.64510950713249	4.77244682160614	4.15673909997839	4.48478876340636	4.15673909997839	4.75448492196899	4.5168606814949	4.15673909997839	4.51608618321539	4.54094909999477	4.50548222512479
TRINITY_DN5248_c1_g1_i1	4.15673909997839	4.15673909997839	4.60959799056113	4.82851561150411	4.92588618871245	4.93427870144586	4.60274299775906	4.71811620027684	4.60907766045292	4.72564016399346	4.80178977000694	4.70206321491574	4.66013247864372	4.64510950713249	4.51400841696821	4.63327900801667	4.15673909997839	4.63155070563714	4.64594778927738	4.9539076772057	4.15673909997839	4.66363596898844	4.54094909999477	4.64875024879431
TRINITY_DN3323_c0_g1_i1	5.50427317433897	5.14341315126377	5.43976447424949	5.466968551812	5.04149898616526	5.28609128270145	5.09025712172019	5.3827272338722	5.36497866759513	5.39841845389049	5.25650696854082	5.38608936373934	5.20669758536588	5.41478414725881	5.57567816797676	5.60851596809575	5.43003578299127	5.38153536019823	5.32833947607106	5.15776169834386	5.81700305491147	5.15568029304551	5.7147973093697	4.9291924236698
TRINITY_DN6683_c0_g1_i1	6.90682225616007	6.42517597822907	6.61451331105808	6.63535268667631	6.29146093575428	6.42507864721854	6.35055628198078	6.46927592596672	6.57113096691834	6.15974939870673	6.22752136255777	6.64982136797616	6.69912012129943	7.01301852259378	6.51675379559292	6.92390446344315	7.28438295973426	6.95130118135443	7.00499633341331	6.85285140778186	6.85457244507685	6.83393517623983	6.56474670612234	6.74228434099438
